legacy path,new path
giving/bsf/ways_to_give/uk.html,alumni/giving/how-make-gift/international
giving/bsf/ways_to_give/wire_transfers.html,alumni/giving/how-make-gift
giving/bsf/when_to_give,alumni/giving/how-make-gift
giving/bsf/when_to_give/annual_giving.html,alumni/giving/how-make-gift
giving/bsf/when_to_give/class_agents.html,alumni/volunteering/fundraising
giving/bsf/when_to_give/corporate_matches.html,http://matchinggifts.com/stanford
giving/bsf/when_to_give/planned_giving_faqs.html,alumni/giving/why/ways-give
giving/bsf/when_to_give/planned_giving.html,alumni/giving/why/ways-give
giving/bsf/when_to_give/reunion_giving_deadlines.html,alumni/reunions
giving/bsf/when_to_give/reunion_giving.html,alumni/reunions
giving/bsf/when_to_give/reunion_records.html,alumni/reunions/records
giving/bsf/why_give,alumni/giving/why/give
giving/bsf/why_give/curriculum.html,alumni/giving/why/give
giving/bsf/why_give/donor_benefits.html,alumni/giving/donor-recognition
giving/bsf/why_give/faculty.html,alumni/giving/strategic-initiatives
giving/bsf/why_give/financial_aid.html,alumni/giving/strategic-initiatives
giving/bsf/why_give/how_i_am_recognized.html,alumni/giving/donor-recognition
giving/bsf/why_give/impact_global.html,alumni/giving/strategic-initiatives
giving/bsf/why_give/impact_leadership.html,alumni/giving/strategic-initiatives
giving/bsf/why_give/impact_social.html,alumni/giving/strategic-initiatives
giving/bsf/why_give/student_life.html,alumni/giving/strategic-initiatives
giving/bsf/why_give/where_my_gift_goes-old.html,alumni/giving/business-school-fund
giving/bsf/why_give/where_my_gift_goes.html,alumni/giving/business-school-fund
giving/bsf/why_give/why_my_gift_matters.html,alumni/giving/why
giving/bsf/why_give/why_tuition.html,alumni/giving/why/give
giving/campaign_leadership,alumni/giving
giving/campaign_news_events,alumni/giving/donor-recognition/news-stories
giving/campaign_news_events/,alumni/giving/donor-recognition/news-stories
giving/campaign_news_events/Class_of_2009_gift.html,stanford-gsb-experience/news-history/class-2009-reaches-100-participation
giving/campaign_news_events/FellowshipOpensDoors.html,stanford-gsb-experience/news-history/fellowship-opens-door-opportunities
giving/campaign_news_events/FellowshipOpenstheDoortoOpportunities.html,stanford-gsb-experience/news-history/fellowship-opens-door-opportunities
giving/contact_us.html,alumni/giving/contact
giving/events,alumni/featured-events
giving/events/arbuckle.html,alumni/featured-events/award-events/arbuckle
giving/events/firstnight.html,alumni/featured-events
giving/events/knightcenteropening.html,alumni/featured-events
giving/events/leadership.html,alumni/featured-events/award-events/excellence-leadership
giving/fellowships.html,alumni/giving/why/ways-give
giving/frequently_asked_questions,alumni/giving
giving/gsb_priorities,alumni/giving/strategic-initiatives
giving/gsb_priorities/annual_giving.html,alumni/giving/strategic-initiatives
giving/gsb_priorities/centers.html,alumni/giving/strategic-initiatives
giving/gsb_priorities/collaborations.html,alumni/giving/strategic-initiatives
giving/gsb_priorities/curricularinnovations.html,alumni/giving/strategic-initiatives
giving/gsb_priorities/entrepreneurial_team.html,alumni/giving/strategic-initiatives
giving/gsb_priorities/faculty,alumni/giving/why
giving/gsb_priorities/faculty_excellence.html,alumni/giving/donor-recognition/news-stories
giving/gsb_priorities/faculty.html,alumni/giving/why
giving/gsb_priorities/faculty/aaker.html,alumni/giving/why
giving/gsb_priorities/faculty/barnett.html,alumni/giving/why
giving/gsb_priorities/faculty/lee.html,alumni/giving/why
giving/gsb_priorities/faculty/neale.html,alumni/giving/why
giving/gsb_priorities/faculty/pfeffer.html,alumni/giving/why
giving/gsb_priorities/faculty/plambeck.html,alumni/giving/why
giving/gsb_priorities/faculty/rao.html,alumni/giving/why
giving/gsb_priorities/faculty/shiv.html,alumni/giving/why
giving/gsb_priorities/faculty/tormala.html,alumni/giving/why
giving/gsb_priorities/faculty/wein.html,alumni/giving/why
giving/gsb_priorities/faculty/zenios.html,alumni/giving/why
giving/gsb_priorities/financial_support_for_new_campus.html,stanford-gsb-experience/news-history/alumni-friends-help-build-better-gsb-knight-management-center
giving/gsb_priorities/george_parker_professorship.html,stanford-gsb-experience/news-history/honoring-one-kind-george-g-c-parker-professorship
giving/gsb_priorities/global_opportunities.html,alumni/giving/donor-recognition/news-stories
giving/gsb_priorities/leadership_fellow.html,alumni/giving/donor-recognition
giving/gsb_priorities/leverage_your_gifts.html,alumni/giving/strategic-initiatives
giving/gsb_priorities/new_campus.html,alumni/giving/strategic-initiatives
giving/gsb_priorities/new_global_fund.html,stanford-gsb-experience/news-history/encouraging-greater-global-business-knowledge
giving/gsb_priorities/programs,alumni/giving/why
giving/gsb_priorities/programs.html,alumni/giving/strategic-initiatives
giving/gsb_priorities/programs/barnes.html,alumni/giving/why
giving/gsb_priorities/programs/castano.html,alumni/giving/why
giving/gsb_priorities/programs/davies.html,alumni/giving/why
giving/gsb_priorities/programs/elbouchikhi.html,alumni/giving/why
giving/gsb_priorities/programs/samagh.html,alumni/giving/why
giving/gsb_priorities/student_fellowships.html,alumni/giving/strategic-initiatives
giving/gsb_priorities/students.html,alumni/giving/strategic-initiatives
giving/highlandhall,alumni/giving/strategic-initiatives/highland-hall
giving/impact,alumni/giving/donor-recognition
giving/mba08,alumni/giving
giving/mba10,alumni/giving
giving/mba14,alumni/giving
giving/mba14/contact,alumni/giving
giving/mba14/faqs,alumni/giving
giving/mba14/howto,alumni/giving
giving/mba14/pledge,alumni/giving
giving/mba14/whygive,alumni/giving
giving/news,alumni/giving/donor-recognition/news-stories
giving/news/1968mba-matching-fund,alumni/giving/donor-recognition/news-stories
giving/news/AlumnaSupportsVision,alumni/giving/donor-recognition/news-stories
giving/news/benefactor,alumni/giving/donor-recognition/news-stories
giving/news/campaign_success,alumni/giving/donor-recognition/news-stories
giving/news/campussustainability.html,stanford-gsb-experience/news-history/business-preserving-planet
giving/news/class_gift_shatters_record.html,stanford-gsb-experience/news-history/mba-class-2008-gift-shatters-record-12-million
giving/news/Class_of_2009_gift.html,stanford-gsb-experience/news-history/class-2009-reaches-100-participation
giving/news/classmatessupportinternationalstudents.html,stanford-gsb-experience/news-history/classmates-establish-fund-support-inspire-international
giving/news/classof1968namesbuilding.html,stanford-gsb-experience/news-history/mba-class-1968-shatters-records-names-building
giving/news/collaborationatwork.html,stanford-gsb-experience/news-history/honoring-legend-collaboration-work
giving/news/connectingthroughvolunteerism.html,stanford-gsb-experience/news-history/connecting-through-volunteerism
giving/news/copses-faculty-support,stanford-gsb-experience/news-history/enriching-intellectual-life-stanford-gsb
giving/news/couple-supports-global-priorities,stanford-gsb-experience/news-history/couple-supports-global-priorities
giving/news/CoupleSupportsSocialVentures,stanford-gsb-experience/news-history/couple-funds-program-support-social-innovation-ventures
giving/news/deans_fund_innovations,stanford-gsb-experience/news-history/giving-deans-fund-advancing-tradition-innovation
giving/news/emergingmarkets.html,stanford-gsb-experience/news-history/innovating-emerging-markets
giving/news/entrepreneurial_center_donors.html,stanford-gsb-experience/news-history/center-entrepreneurial-studies-sparks-bright-ideas
giving/news/environmental_business_innovation.html,stanford-gsb-experience/news-history/environmental-business-innovation-go-hand-hand
giving/news/environmental_sustainability_for_the_new_business_school_campus.html,stanford-gsb-experience/news-history/going-green-environmental-sustainability-new-business-school
giving/news/faculty_fellow,stanford-gsb-experience/news-history/couple-endows-faculty-fellow-position-entrepreneurship
giving/news/familytradition.html,stanford-gsb-experience/news-history/volunteering-gsb-family-tradition
giving/news/FellowshipOpensDoors.html,stanford-gsb-experience/news-history/fellowship-opens-door-opportunities
giving/news/financial_support_for_new_campus.html,stanford-gsb-experience/news-history/alumni-friends-help-build-better-gsb-knight-management-center
giving/news/galperin-classrooms,stanford-gsb-experience/news-history/argentine-entrepreneur-makes-campus-gift
giving/news/generationsofgiving.html,stanford-gsb-experience/news-history/generations-stanford-gsb-family-envision-new-campus
giving/news/george_parker_professorship.html,stanford-gsb-experience/news-history/honoring-one-kind-george-g-c-parker-professorship
giving/news/gifts_help_transform_educational_experience_at_GSB.html,stanford-gsb-experience/news-history/gifts-help-transform-educational-experience-stanford-gsb
giving/news/gilbert.html,stanford-gsb-experience/news-history/leading-way-young-alumnus-gives-back
giving/news/gilbertfellowship.html,stanford-gsb-experience/news-history/leading-way-young-alumnus-gives-back
giving/news/global_perspective.html,stanford-gsb-experience/news-history/instilling-global-perspective-students
giving/news/gsb_education_collaboration.html,stanford-gsb-experience/news-history/gift-emphasizes-business-education-through-multidisciplinary
giving/news/honoringmothersinspiration.html,stanford-gsb-experience/news-history/family-gift-honors-mothers-inspiration
giving/news/InvestorBestonBusinessStudents,stanford-gsb-experience/news-history/investor-bets-business-students
giving/news/Investors_in_Social_Innovation_Leverage_Matching_Funds.html,stanford-gsb-experience/news-history/investors-social-innovation-leverage-matching-funds
giving/news/Jeffe_professorship,stanford-gsb-experience/news-history/investing-faculty-ideas-robert-elizabeth-r-jeffe-professorship
giving/news/JP_Garnier.html,stanford-gsb-experience/news-history/glaxosmithkline-fellowships-pay-tribute-jp-garnier
giving/news/knight_center_gift.html,stanford-gsb-experience/news-history/vidalakis-family-gives-back-capital-gift
giving/news/leaders_jumpstart_ideas,stanford-gsb-experience/news-history/leaders-annual-giving-jump-starting-good-ideas
giving/news/leaving_mark_on_kmc,stanford-gsb-experience/news-history/leaving-mark-knight-management-center
giving/news/legacy_for_entrepreneurship,stanford-gsb-experience/news-history/planning-legacy-encouraging-next-generation-entrepreneurs
giving/news/legacy_for_future.html,stanford-gsb-experience/news-history/laying-foundation-legacy-future
giving/news/lifellowship.html,stanford-gsb-experience/news-history/alumnus-draws-personal-experience-endowing-fellowship
giving/news/lumpkins-matching-fellowship-fund,stanford-gsb-experience/news-history/couple-carries-fellowship-tradition-aided-matching-fund
giving/news/message_from_the_dean.html,stanford-gsb-experience/news-history/delivering-vision-message-dean
giving/news/moghadam_family_professorship.html,stanford-gsb-experience/news-history/investing-faculty-moghadam-family-professorship
giving/news/multidisciplinary_fellowships.html,stanford-gsb-experience/news-history/encouraging-collaboration-through-multidisciplinary-fellowships
giving/news/new_campus_co_lab.html,stanford-gsb-experience/news-history/alumni-support-collaboration-lab-new-campus
giving/news/new_campus_groundbreaking.html,stanford-gsb-experience/news-history/alumni-friends-help-build-better-gsb-knight-management-center
giving/news/new_global_fund.html,stanford-gsb-experience/news-history/encouraging-greater-global-business-knowledge
giving/news/pepsicosupportsdiversity.html,stanford-gsb-experience/news-history/pepsico-supports-diversity-efforts-across-stanford-gsb
giving/news/planned_giving_donors.html,stanford-gsb-experience/news-history/alumni-leave-lasting-legacy-through-planned-gifts
giving/news/reliance_industries_fellowships.html,stanford-gsb-experience/news-history/reliance-industries-creates-fellowships-indian-mba-students
giving/news/renewal_fellowship,stanford-gsb-experience/news-history/50th-reunion-efforts-renew-unique-fellowship
giving/news/reuniongiving.html,stanford-gsb-experience/news-history/reunion-giving-resounding-success-every-measure
giving/news/Service-mindedAlumnusSetsShiningExample_000.html,stanford-gsb-experience/news-history/service-minded-alumnus-sets-shining-example
giving/news/social_innovation_faculty.html,stanford-gsb-experience/news-history/endowed-faculty-position-social-innovation
