From,To
alumni/act/alumni/projects/ravenswood.html,http://gsb.stanford.edu/organizations/leverage-gsb/act-nonprofits/clients/ravenswood-family-health-center
alumni/act/alumni/projects/streettech.html,http://gsb.stanford.edu/organizations/leverage-gsb/act-nonprofits/clients/street-tech-now-stride-center
alumni/act/alumni/projects/truste.html,http://gsb.stanford.edu/organizations/leverage-gsb/act-nonprofits/clients/truste
alumni/act/alumni/projects/upwardlyglobal.html,http://gsb.stanford.edu/organizations/leverage-gsb/act-nonprofits/clients/upwardly-global
alumni/act/alumni/projects/urbanecology.html,http://gsb.stanford.edu/organizations/leverage-gsb/act-nonprofits/clients/urban-ecology
alumni/act/alumni/projects/women.html,http://gsb.stanford.edu/organizations/leverage-gsb/act-nonprofits/clients/womens-initiative-self-employment
alumni/act/alumni/registration,http://gsb.stanford.edu/alumni/volunteering/act/opportunities/how-volunteer
alumni/act/alumni/toolkit,http://gsb.stanford.edu/alumni/volunteering/act/consultant-toolkit
alumni/act/alumni/toolkit/doctemplates.html,http://gsb.stanford.edu/alumni/volunteering/act/consultant-toolkit/document-templates
alumni/act/alumni/toolkit/executive_summary.html,http://gsb.stanford.edu/alumni/volunteering/act/opportunities/leading/building-leadership
alumni/act/alumni/toolkit/lendinglibrary.html,http://gsb.stanford.edu/alumni/volunteering/act/consultant-toolkit/lending-library
alumni/act/alumni/toolkit/project-leaders.html,http://gsb.stanford.edu/alumni/volunteering/act/consultant-toolkit/project-leader
alumni/act/alumni/toolkit/toolsforteams.html,http://gsb.stanford.edu/alumni/volunteering/act/consultant-toolkit/teams
alumni/act/alumni/toolkit/videos.html,http://gsb.stanford.edu/alumni/volunteering/act/consultant-toolkit/training-videos
alumni/act/calendar.html,http://gsb.stanford.edu/organizations/leverage-gsb/act-nonprofits
alumni/act/contact,http://gsb.stanford.edu/organizations/leverage-gsb/act-nonprofits/contact
alumni/act/evening-of-recognition,http://gsb.stanford.edu/alumni/volunteering/act/stories-history/awards-celebration
alumni/act/nonprofits,http://gsb.stanford.edu/organizations/leverage-gsb/act-nonprofits
alumni/act/nonprofits/apply,http://gsb.stanford.edu/organizations/leverage-gsb/act-nonprofits/working/application-process
alumni/act/nonprofits/clients.html,http://gsb.stanford.edu/organizations/leverage-gsb/act-nonprofits/clients
alumni/act/nonprofits/criteria.html,http://gsb.stanford.edu/organizations/leverage-gsb/act-nonprofits/working/client-eligibility-criteria
alumni/act/nonprofits/process.html,http://gsb.stanford.edu/organizations/leverage-gsb/act-nonprofits/working/process
alumni/act/nonprofits/project-screening.html,http://gsb.stanford.edu/organizations/leverage-gsb/act-nonprofits/working/project-screening
alumni/act/nonprofits/resources.html,http://gsb.stanford.edu/organizations/leverage-gsb/act-nonprofits/other-resources
alumni/act/nonprofits/services.html,http://gsb.stanford.edu/organizations/leverage-gsb/act-nonprofits/services
alumni/alumniemail,http://gsb.stanford.edu/alumni/help/email
alumni/alumniemail/conversations.html,http://gsb.stanford.edu/alumni/help/email
alumni/alumniemail/faq.html,http://gsb.stanford.edu/alumni/help/email
alumni/alumninetwork,http://gsb.stanford.edu/alumni/communities
alumni/beacon,http://gsb.stanford.edu/alumni/career-resources
alumni/beacon/apply.html,http://gsb.stanford.edu/alumni/career-resources
alumni/business-of-change,http://gsb.stanford.edu/alumni/featured-events/business-change
alumni/business-of-change/Boston,http://gsb.stanford.edu/alumni/featured-events/business-change/previous-cities/boston
alumni/business-of-change/Chicago,http://gsb.stanford.edu/alumni/featured-events/business-change/previous-cities/chicago
alumni/business-of-change/Hong-Kong,http://gsb.stanford.edu/alumni/featured-events/business-change/previous-cities/hong-kong
alumni/business-of-change/London,http://gsb.stanford.edu/alumni/featured-events/business-change/previous-cities/london
alumni/business-of-change/London/Lord-John-Browne,http://gsb.stanford.edu/alumni/featured-events/business-change/previous-cities/london
alumni/business-of-change/Mexico-City,http://gsb.stanford.edu/alumni/featured-events/business-change/previous-cities/mexico-city
alumni/business-of-change/mobile,http://gsb.stanford.edu/alumni/featured-events/business-change
alumni/business-of-change/Monterrey,http://gsb.stanford.edu/alumni/featured-events/business-change/previous-cities/monterrey
alumni/business-of-change/New-York,http://gsb.stanford.edu/alumni/featured-events/business-change/previous-cities/new-york
alumni/business-of-change/Portland,http://gsb.stanford.edu/alumni/featured-events/business-change/previous-cities/portland
alumni/business-of-change/San-Francisco,http://gsb.stanford.edu/alumni/featured-events/business-change/previous-cities/san-francisco
alumni/business-of-change/Seattle,http://gsb.stanford.edu/alumni/featured-events/business-change/previous-cities/seattle
